Local,Item,Id_campaña,Fecha_inicio,Fecha_termino
48,15,11,2017-03-23,2017-07-31
5,486,28,2018-02-05,2018-03-28
48,457,31,2018-03-01,2018-04-18
48,564,27,2017-10-17,2017-11-22
48,554,2,2017-11-03,2017-11-07
66,438,29,2018-01-02,2018-04-06
48,192,12,2017-03-15,2017-07-19
48,472,5,2017-03-26,2017-09-15
48,510,11,2017-03-23,2017-07-31
5,50,28,2018-02-05,2018-03-28
48,641,31,2018-03-01,2018-04-18
48,494,26,2017-09-21,2017-12-31
48,573,1,2017-11-03,2017-11-07
70,131,29,2018-01-02,2018-04-06
48,277,12,2017-03-15,2017-07-19
48,224,5,2017-03-26,2017-09-15
48,44,11,2017-03-23,2017-07-31
5,531,28,2018-02-05,2018-03-28
48,35,31,2018-03-01,2018-04-18
51,627,27,2017-10-17,2017-11-22
48,517,2,2017-11-03,2017-11-07
77,127,29,2018-01-02,2018-04-06
48,285,12,2017-03-15,2017-07-19
48,96,5,2017-03-26,2017-09-15
48,216,11,2017-03-23,2017-07-31
5,259,28,2018-02-05,2018-03-28
48,452,31,2018-03-01,2018-04-18
51,465,27,2017-10-17,2017-11-22
48,38,2,2017-11-03,2017-11-07
19,272,29,2018-01-02,2018-04-06
48,358,12,2017-03-15,2017-07-19
48,234,5,2017-03-26,2017-09-15
48,477,11,2017-03-23,2017-07-31
53,91,28,2018-02-05,2018-03-28
48,624,31,2018-03-01,2018-04-18
51,300,26,2017-09-21,2017-12-31
48,70,2,2017-11-03,2017-11-07
67,32,29,2018-01-02,2018-04-06
48,235,12,2017-03-15,2017-07-19
48,618,5,2017-03-26,2017-09-15
48,637,11,2017-03-23,2017-07-31
53,486,28,2018-02-05,2018-03-28
48,368,30,2018-03-01,2018-04-18
51,626,27,2017-10-17,2017-11-22
51,161,2,2017-11-03,2017-11-07
84,126,29,2018-01-02,2018-04-06
48,352,12,2017-03-15,2017-07-19
48,499,5,2017-03-26,2017-09-15
48,263,11,2017-03-23,2017-07-31
53,50,28,2018-02-05,2018-03-28
48,121,30,2018-03-01,2018-04-18
51,135,26,2017-09-21,2017-12-31
51,64,2,2017-11-03,2017-11-07
49,413,29,2018-01-02,2018-04-06
48,599,12,2017-03-15,2017-07-19
48,364,5,2017-03-26,2017-09-15
48,433,11,2017-03-23,2017-07-31
53,531,28,2018-02-05,2018-03-28
48,100,30,2018-03-01,2018-04-18
51,236,27,2017-10-17,2017-11-22
51,87,2,2017-11-03,2017-11-07
25,578,29,2018-01-02,2018-04-06
48,114,12,2017-03-15,2017-07-19
48,132,5,2017-03-26,2017-09-15
48,225,11,2017-03-23,2017-07-31
53,259,28,2018-02-05,2018-03-28
48,303,30,2018-03-01,2018-04-18
51,23,27,2017-10-17,2017-11-22
51,311,2,2017-11-03,2017-11-07
7,485,29,2018-01-02,2018-04-06
48,27,12,2017-03-15,2017-07-19
48,372,5,2017-03-26,2017-09-15
48,650,11,2017-03-23,2017-07-31
73,486,28,2018-02-05,2018-03-28
48,61,31,2018-03-01,2018-04-18
51,252,27,2017-10-17,2017-11-22
51,500,2,2017-11-03,2017-11-07
62,267,29,2018-01-02,2018-04-06
48,373,12,2017-03-15,2017-07-19
48,432,5,2017-03-26,2017-09-15
48,287,11,2017-03-23,2017-07-31
73,50,28,2018-02-05,2018-03-28
48,533,31,2018-03-01,2018-04-18
51,209,27,2017-10-17,2017-11-22
51,45,2,2017-11-03,2017-11-07
11,220,29,2018-01-02,2018-04-06
48,244,12,2017-03-15,2017-07-19
48,471,5,2017-03-26,2017-09-15
48,213,11,2017-03-23,2017-07-31
73,531,28,2018-02-05,2018-03-28
48,587,31,2018-03-01,2018-04-18
51,661,27,2017-10-17,2017-11-22
51,249,2,2017-11-03,2017-11-07
4,659,29,2018-01-02,2018-04-06
48,92,15,2017-03-23,2017-04-19
48,276,5,2017-03-26,2017-09-15
48,463,11,2017-03-23,2017-07-31
73,259,28,2018-02-05,2018-03-28
48,554,31,2018-03-01,2018-04-18
51,595,27,2017-10-17,2017-11-22
51,189,2,2017-11-03,2017-11-07
5,340,29,2018-01-02,2018-04-06
48,74,15,2017-03-23,2017-04-19
48,581,5,2017-03-26,2017-09-15
48,586,11,2017-03-23,2017-07-31
1,91,28,2018-02-05,2018-03-28
48,636,31,2018-03-01,2018-04-18
51,569,26,2017-09-21,2017-12-31
51,251,2,2017-11-03,2017-11-07
23,481,29,2018-01-02,2018-04-06
48,596,15,2017-03-23,2017-04-19
48,125,5,2017-03-26,2017-09-15
48,184,11,2017-03-23,2017-07-31
1,486,28,2018-02-05,2018-03-28
48,94,31,2018-03-01,2018-04-18
51,342,26,2017-09-21,2017-12-31
51,554,2,2017-11-03,2017-11-07
75,257,29,2018-01-02,2018-04-06
48,99,15,2017-03-23,2017-04-19
48,268,5,2017-03-26,2017-09-15
48,133,9,2017-09-01,2017-09-22
1,50,28,2018-02-05,2018-03-28
48,227,31,2018-03-01,2018-04-18
51,646,27,2017-10-17,2017-11-22
51,573,1,2017-11-03,2017-11-07
5,346,29,2018-01-02,2018-04-06
48,234,15,2017-03-23,2017-04-19
48,598,5,2017-03-26,2017-09-15
48,489,11,2017-03-23,2017-07-31
1,531,28,2018-02-05,2018-03-28
48,539,31,2018-03-01,2018-04-18
51,564,27,2017-10-17,2017-11-22
51,517,2,2017-11-03,2017-11-07
12,69,29,2018-01-02,2018-04-06
48,372,15,2017-03-23,2017-04-19
48,577,5,2017-03-26,2017-09-15
48,414,11,2017-03-23,2017-07-31
1,259,28,2018-02-05,2018-03-28
48,138,31,2018-03-01,2018-04-18
51,494,26,2017-09-21,2017-12-31
51,38,2,2017-11-03,2017-11-07
30,226,29,2018-01-02,2018-04-06
48,318,12,2017-03-15,2017-07-19
48,318,18,2017-02-22,2017-03-22
48,284,11,2017-03-23,2017-07-31
77,486,28,2018-02-05,2018-03-28
48,415,31,2018-03-01,2018-04-18
5,627,27,2017-10-17,2017-11-22
51,70,2,2017-11-03,2017-11-07
86,446,29,2018-01-02,2018-04-06
48,91,12,2017-03-15,2017-07-19
48,91,18,2017-02-22,2017-03-22
48,330,11,2017-03-23,2017-07-31
77,50,28,2018-02-05,2018-03-28
48,264,31,2018-03-01,2018-04-18
5,465,27,2017-10-17,2017-11-22
5,648,2,2017-11-03,2017-11-07
6,478,29,2018-01-02,2018-04-06
48,509,12,2017-03-15,2017-07-19
48,312,18,2017-02-22,2017-03-22
48,121,11,2017-03-23,2017-07-31
77,531,28,2018-02-05,2018-03-28
48,22,30,2018-03-01,2018-04-18
5,300,26,2017-09-21,2017-12-31
5,161,2,2017-11-03,2017-11-07
42,438,29,2018-01-02,2018-04-06
48,395,12,2017-03-15,2017-07-19
48,203,5,2017-03-26,2017-09-15
48,100,11,2017-03-23,2017-07-31
85,91,28,2018-02-05,2018-03-28
48,186,30,2018-03-01,2018-04-18
5,626,27,2017-10-17,2017-11-22
5,64,2,2017-11-03,2017-11-07
48,419,12,2017-03-15,2017-07-19
48,425,5,2017-03-26,2017-09-15
48,303,11,2017-03-23,2017-07-31
85,486,28,2018-02-05,2018-03-28
48,281,31,2018-03-01,2018-04-18
5,135,26,2017-09-21,2017-12-31
5,87,2,2017-11-03,2017-11-07
19,127,29,2018-01-02,2018-04-06
48,419,15,2017-03-23,2017-04-19
48,506,5,2017-03-26,2017-09-15
48,175,11,2017-03-23,2017-07-31
85,50,28,2018-02-05,2018-03-28
48,54,31,2018-03-01,2018-04-18
5,236,27,2017-10-17,2017-11-22
5,311,2,2017-11-03,2017-11-07
72,174,29,2018-01-02,2018-04-06
48,327,12,2017-03-15,2017-07-19
48,638,5,2017-03-26,2017-09-15
48,383,11,2017-03-23,2017-07-31
85,531,28,2018-02-05,2018-03-28
48,19,31,2018-03-01,2018-04-18
5,23,27,2017-10-17,2017-11-22
5,500,2,2017-11-03,2017-11-07
22,78,29,2018-01-02,2018-04-06
48,490,12,2017-03-15,2017-07-19
48,655,5,2017-03-26,2017-09-15
48,479,11,2017-03-23,2017-07-31
69,91,28,2018-02-05,2018-03-28
48,12,31,2018-03-01,2018-04-18
5,252,27,2017-10-17,2017-11-22
5,112,2,2017-11-03,2017-11-07
28,396,29,2018-01-02,2018-04-06
48,490,15,2017-03-23,2017-04-19
48,426,5,2017-03-26,2017-09-15
51,66,11,2017-03-23,2017-07-31
69,486,28,2018-02-05,2018-03-28
48,507,31,2018-03-01,2018-04-18
5,209,27,2017-10-17,2017-11-22
5,45,2,2017-11-03,2017-11-07
41,24,29,2018-01-02,2018-04-06
48,441,12,2017-03-15,2017-07-19
48,453,5,2017-03-26,2017-09-15
51,172,11,2017-03-23,2017-07-31
69,50,28,2018-02-05,2018-03-28
48,70,31,2018-03-01,2018-04-18
5,661,27,2017-10-17,2017-11-22
5,249,2,2017-11-03,2017-11-07
47,465,29,2018-01-02,2018-04-06
48,229,12,2017-03-15,2017-07-19
48,215,5,2017-03-26,2017-09-15
51,14,11,2017-03-23,2017-07-31
69,531,28,2018-02-05,2018-03-28
51,173,30,2018-03-01,2018-04-18
5,595,27,2017-10-17,2017-11-22
5,189,2,2017-11-03,2017-11-07
3,562,29,2018-01-02,2018-04-06
48,112,15,2017-03-23,2017-04-19
48,278,5,2017-03-26,2017-09-15
51,254,11,2017-03-23,2017-07-31
69,259,28,2018-02-05,2018-03-28
51,208,30,2018-03-01,2018-04-18
5,569,26,2017-09-21,2017-12-31
5,251,2,2017-11-03,2017-11-07
8,623,29,2018-01-02,2018-04-06
48,45,15,2017-03-23,2017-04-19
48,256,5,2017-03-26,2017-09-15
51,160,11,2017-03-23,2017-07-31
27,91,28,2018-02-05,2018-03-28
51,354,30,2018-03-01,2018-04-18
5,342,26,2017-09-21,2017-12-31
5,554,2,2017-11-03,2017-11-07
49,76,29,2018-01-02,2018-04-06
48,249,15,2017-03-23,2017-04-19
48,400,5,2017-03-26,2017-09-15
51,195,9,2017-09-01,2017-09-22
27,486,28,2018-02-05,2018-03-28
51,234,32,2018-03-22,2018-04-18
5,646,27,2017-10-17,2017-11-22
5,573,1,2017-11-03,2017-11-07
38,93,29,2018-01-02,2018-04-06
48,548,12,2017-03-15,2017-07-19
48,350,5,2017-03-26,2017-09-15
51,553,11,2017-03-23,2017-07-31
27,50,28,2018-02-05,2018-03-28
51,372,32,2018-03-22,2018-04-18
5,564,27,2017-10-17,2017-11-22
5,517,2,2017-11-03,2017-11-07
36,403,29,2018-01-02,2018-04-06
48,427,12,2017-03-15,2017-07-19
48,308,5,2017-03-26,2017-09-15
51,98,11,2017-03-23,2017-07-31
27,531,28,2018-02-05,2018-03-28
51,637,30,2018-03-01,2018-04-18
5,494,26,2017-09-21,2017-12-31
5,38,2,2017-11-03,2017-11-07
76,480,29,2018-01-02,2018-04-06
48,508,12,2017-03-15,2017-07-19
48,134,5,2017-03-26,2017-09-15
51,567,11,2017-03-23,2017-07-31
75,91,28,2018-02-05,2018-03-28
51,225,30,2018-03-01,2018-04-18
53,627,27,2017-10-17,2017-11-22
5,70,2,2017-11-03,2017-11-07
17,172,29,2018-01-02,2018-04-06
48,324,12,2017-03-15,2017-07-19
48,253,5,2017-03-26,2017-09-15
51,498,11,2017-03-23,2017-07-31
75,486,28,2018-02-05,2018-03-28
51,308,32,2018-03-22,2018-04-18
53,465,27,2017-10-17,2017-11-22
53,648,2,2017-11-03,2017-11-07
41,239,29,2018-01-02,2018-04-06
48,187,15,2017-03-23,2017-04-19
48,182,5,2017-03-26,2017-09-15
75,50,28,2018-02-05,2018-03-28
51,586,30,2018-03-01,2018-04-18
53,300,26,2017-09-21,2017-12-31
53,161,2,2017-11-03,2017-11-07
22,5,29,2018-01-02,2018-04-06
48,570,12,2017-03-15,2017-07-19
48,68,5,2017-03-26,2017-09-15
51,15,11,2017-03-23,2017-07-31
75,531,28,2018-02-05,2018-03-28
51,111,31,2018-03-01,2018-04-18
53,626,27,2017-10-17,2017-11-22
53,64,2,2017-11-03,2017-11-07
81,458,29,2018-01-02,2018-04-06
48,527,12,2017-03-15,2017-07-19
48,588,5,2017-03-26,2017-09-15
51,510,11,2017-03-23,2017-07-31
75,259,28,2018-02-05,2018-03-28
51,314,31,2018-03-01,2018-04-18
53,135,26,2017-09-21,2017-12-31
53,87,2,2017-11-03,2017-11-07
67,616,29,2018-01-02,2018-04-06
48,534,15,2017-03-23,2017-04-19
48,486,18,2017-02-22,2017-03-22
51,44,11,2017-03-23,2017-07-31
33,91,28,2018-02-05,2018-03-28
51,457,31,2018-03-01,2018-04-18
53,236,27,2017-10-17,2017-11-22
53,311,2,2017-11-03,2017-11-07
36,42,29,2018-01-02,2018-04-06
48,71,12,2017-03-15,2017-07-19
48,50,18,2017-02-22,2017-03-22
51,216,11,2017-03-23,2017-07-31
33,486,28,2018-02-05,2018-03-28
51,641,31,2018-03-01,2018-04-18
53,23,27,2017-10-17,2017-11-22
53,500,2,2017-11-03,2017-11-07
9,127,29,2018-01-02,2018-04-06
48,492,12,2017-03-15,2017-07-19
48,407,5,2017-03-26,2017-09-15
51,477,11,2017-03-23,2017-07-31
33,50,28,2018-02-05,2018-03-28
51,35,31,2018-03-01,2018-04-18
53,252,27,2017-10-17,2017-11-22
53,112,2,2017-11-03,2017-11-07
5,360,29,2018-01-02,2018-04-06
48,205,12,2017-03-15,2017-07-19
48,52,5,2017-03-26,2017-09-15
51,637,11,2017-03-23,2017-07-31
33,531,28,2018-02-05,2018-03-28
51,452,31,2018-03-01,2018-04-18
53,569,26,2017-09-21,2017-12-31
53,45,2,2017-11-03,2017-11-07
16,24,29,2018-01-02,2018-04-06
48,662,12,2017-03-15,2017-07-19
48,306,5,2017-03-26,2017-09-15
51,263,11,2017-03-23,2017-07-31
81,91,28,2018-02-05,2018-03-28
51,624,31,2018-03-01,2018-04-18
53,342,26,2017-09-21,2017-12-31
53,249,2,2017-11-03,2017-11-07
14,21,29,2018-01-02,2018-04-06
48,637,15,2017-03-23,2017-04-19
48,9,5,2017-03-26,2017-09-15
51,433,11,2017-03-23,2017-07-31
81,486,28,2018-02-05,2018-03-28
51,368,30,2018-03-01,2018-04-18
53,646,27,2017-10-17,2017-11-22
53,189,2,2017-11-03,2017-11-07
57,76,29,2018-01-02,2018-04-06
48,329,12,2017-03-15,2017-07-19
48,7,5,2017-03-26,2017-09-15
51,621,11,2017-03-23,2017-07-31
81,50,28,2018-02-05,2018-03-28
51,121,30,2018-03-01,2018-04-18
53,564,27,2017-10-17,2017-11-22
53,251,2,2017-11-03,2017-11-07
54,108,29,2018-01-02,2018-04-06
48,225,15,2017-03-23,2017-04-19
48,273,5,2017-03-26,2017-09-15
51,225,11,2017-03-23,2017-07-31
81,531,28,2018-02-05,2018-03-28
51,100,30,2018-03-01,2018-04-18
73,627,27,2017-10-17,2017-11-22
53,554,2,2017-11-03,2017-11-07
33,556,29,2018-01-02,2018-04-06
48,308,15,2017-03-23,2017-04-19
48,544,5,2017-03-26,2017-09-15
51,650,11,2017-03-23,2017-07-31
81,259,28,2018-02-05,2018-03-28
51,303,30,2018-03-01,2018-04-18
73,465,27,2017-10-17,2017-11-22
53,573,1,2017-11-03,2017-11-07
59,437,29,2018-01-02,2018-04-06
48,542,12,2017-03-15,2017-07-19
48,483,5,2017-03-26,2017-09-15
51,213,11,2017-03-23,2017-07-31
19,91,28,2018-02-05,2018-03-28
51,61,31,2018-03-01,2018-04-18
73,300,26,2017-09-21,2017-12-31
53,517,2,2017-11-03,2017-11-07
84,538,29,2018-01-02,2018-04-06
48,519,12,2017-03-15,2017-07-19
48,660,5,2017-03-26,2017-09-15
51,602,11,2017-03-23,2017-07-31
19,486,28,2018-02-05,2018-03-28
51,533,31,2018-03-01,2018-04-18
73,626,27,2017-10-17,2017-11-22
53,38,2,2017-11-03,2017-11-07
37,331,29,2018-01-02,2018-04-06
48,586,15,2017-03-23,2017-04-19
48,295,5,2017-03-26,2017-09-15
51,586,11,2017-03-23,2017-07-31
19,50,28,2018-02-05,2018-03-28
51,587,31,2018-03-01,2018-04-18
73,135,26,2017-09-21,2017-12-31
53,70,2,2017-11-03,2017-11-07
81,332,29,2018-01-02,2018-04-06
48,515,12,2017-03-15,2017-07-19
48,206,5,2017-03-26,2017-09-15
51,40,11,2017-03-23,2017-07-31
19,531,28,2018-02-05,2018-03-28
51,554,31,2018-03-01,2018-04-18
73,236,27,2017-10-17,2017-11-22
73,648,2,2017-11-03,2017-11-07
78,334,29,2018-01-02,2018-04-06
48,635,12,2017-03-15,2017-07-19
48,536,5,2017-03-26,2017-09-15
51,184,11,2017-03-23,2017-07-31
19,259,28,2018-02-05,2018-03-28
51,636,31,2018-03-01,2018-04-18
73,23,27,2017-10-17,2017-11-22
73,161,2,2017-11-03,2017-11-07
78,551,29,2018-01-02,2018-04-06
48,398,12,2017-03-15,2017-07-19
51,133,9,2017-09-01,2017-09-22
40,91,28,2018-02-05,2018-03-28
51,94,31,2018-03-01,2018-04-18
73,252,27,2017-10-17,2017-11-22
73,64,2,2017-11-03,2017-11-07
48,111,12,2017-03-15,2017-07-19
51,149,18,2017-02-22,2017-03-22
51,489,11,2017-03-23,2017-07-31
40,486,28,2018-02-05,2018-03-28
51,227,31,2018-03-01,2018-04-18
73,209,27,2017-10-17,2017-11-22
73,87,2,2017-11-03,2017-11-07
77,602,29,2018-01-02,2018-04-06
48,111,15,2017-03-23,2017-04-19
51,228,18,2017-02-22,2017-03-22
51,414,11,2017-03-23,2017-07-31
40,50,28,2018-02-05,2018-03-28
51,539,31,2018-03-01,2018-04-18
73,661,27,2017-10-17,2017-11-22
73,311,2,2017-11-03,2017-11-07
6,202,29,2018-01-02,2018-04-06
48,166,12,2017-03-15,2017-07-19
51,245,18,2017-02-22,2017-03-22
51,284,11,2017-03-23,2017-07-31
40,531,28,2018-02-05,2018-03-28
51,138,31,2018-03-01,2018-04-18
73,595,27,2017-10-17,2017-11-22
73,500,2,2017-11-03,2017-11-07
40,371,29,2018-01-02,2018-04-06
48,297,12,2017-03-15,2017-07-19
51,285,18,2017-02-22,2017-03-22
51,330,11,2017-03-23,2017-07-31
40,259,28,2018-02-05,2018-03-28
51,415,31,2018-03-01,2018-04-18
73,569,26,2017-09-21,2017-12-31
73,112,2,2017-11-03,2017-11-07
74,296,29,2018-01-02,2018-04-06
48,49,12,2017-03-15,2017-07-19
51,92,5,2017-03-26,2017-09-15
51,121,11,2017-03-23,2017-07-31
41,91,28,2018-02-05,2018-03-28
51,264,31,2018-03-01,2018-04-18
73,342,26,2017-09-21,2017-12-31
73,45,2,2017-11-03,2017-11-07
74,271,29,2018-01-02,2018-04-06
48,406,12,2017-03-15,2017-07-19
51,74,5,2017-03-26,2017-09-15
51,100,11,2017-03-23,2017-07-31
41,486,28,2018-02-05,2018-03-28
51,22,30,2018-03-01,2018-04-18
73,646,27,2017-10-17,2017-11-22
73,249,2,2017-11-03,2017-11-07
25,541,29,2018-01-02,2018-04-06
48,219,12,2017-03-15,2017-07-19
51,596,5,2017-03-26,2017-09-15
51,303,11,2017-03-23,2017-07-31
41,50,28,2018-02-05,2018-03-28
51,186,30,2018-03-01,2018-04-18
73,564,27,2017-10-17,2017-11-22
73,189,2,2017-11-03,2017-11-07
17,562,29,2018-01-02,2018-04-06
48,397,12,2017-03-15,2017-07-19
51,99,5,2017-03-26,2017-09-15
51,175,11,2017-03-23,2017-07-31
41,531,28,2018-02-05,2018-03-28
51,281,31,2018-03-01,2018-04-18
73,494,26,2017-09-21,2017-12-31
73,251,2,2017-11-03,2017-11-07
87,403,29,2018-01-02,2018-04-06
48,314,12,2017-03-15,2017-07-19
51,248,5,2017-03-26,2017-09-15
51,383,11,2017-03-23,2017-07-31
41,259,28,2018-02-05,2018-03-28
51,54,31,2018-03-01,2018-04-18
1,627,27,2017-10-17,2017-11-22
73,554,2,2017-11-03,2017-11-07
61,424,29,2018-01-02,2018-04-06
48,314,15,2017-03-23,2017-04-19
51,79,5,2017-03-26,2017-09-15
5,66,11,2017-03-23,2017-07-31
82,91,28,2018-02-05,2018-03-28
51,19,31,2018-03-01,2018-04-18
1,465,27,2017-10-17,2017-11-22
73,517,2,2017-11-03,2017-11-07
25,613,29,2018-01-02,2018-04-06
48,457,12,2017-03-15,2017-07-19
51,363,5,2017-03-26,2017-09-15
5,172,11,2017-03-23,2017-07-31
82,486,28,2018-02-05,2018-03-28
51,12,31,2018-03-01,2018-04-18
1,300,26,2017-09-21,2017-12-31
73,38,2,2017-11-03,2017-11-07
60,155,29,2018-01-02,2018-04-06
48,457,15,2017-03-23,2017-04-19
51,472,5,2017-03-26,2017-09-15
5,14,11,2017-03-23,2017-07-31
82,50,28,2018-02-05,2018-03-28
51,507,31,2018-03-01,2018-04-18
1,626,27,2017-10-17,2017-11-22
73,70,2,2017-11-03,2017-11-07
84,616,29,2018-01-02,2018-04-06
48,641,12,2017-03-15,2017-07-19
51,224,5,2017-03-26,2017-09-15
5,254,11,2017-03-23,2017-07-31
82,531,28,2018-02-05,2018-03-28
51,70,31,2018-03-01,2018-04-18
1,135,26,2017-09-21,2017-12-31
1,648,2,2017-11-03,2017-11-07
40,76,29,2018-01-02,2018-04-06
48,641,15,2017-03-23,2017-04-19
51,96,5,2017-03-26,2017-09-15
5,160,11,2017-03-23,2017-07-31
22,91,28,2018-02-05,2018-03-28
5,173,30,2018-03-01,2018-04-18
1,236,27,2017-10-17,2017-11-22
1,161,2,2017-11-03,2017-11-07
38,556,29,2018-01-02,2018-04-06
48,35,12,2017-03-15,2017-07-19
51,234,5,2017-03-26,2017-09-15
5,195,9,2017-09-01,2017-09-22
22,486,28,2018-02-05,2018-03-28
5,208,30,2018-03-01,2018-04-18
1,23,27,2017-10-17,2017-11-22
1,64,2,2017-11-03,2017-11-07
73,526,29,2018-01-02,2018-04-06
48,35,15,2017-03-23,2017-04-19
51,618,5,2017-03-26,2017-09-15
5,553,11,2017-03-23,2017-07-31
22,50,28,2018-02-05,2018-03-28
5,354,30,2018-03-01,2018-04-18
1,252,27,2017-10-17,2017-11-22
1,87,2,2017-11-03,2017-11-07
74,298,29,2018-01-02,2018-04-06
48,452,12,2017-03-15,2017-07-19
51,499,5,2017-03-26,2017-09-15
5,98,11,2017-03-23,2017-07-31
22,531,28,2018-02-05,2018-03-28
5,234,32,2018-03-22,2018-04-18
1,209,27,2017-10-17,2017-11-22
1,311,2,2017-11-03,2017-11-07
38,280,29,2018-01-02,2018-04-06
48,452,15,2017-03-23,2017-04-19
51,364,5,2017-03-26,2017-09-15
5,567,11,2017-03-23,2017-07-31
22,259,28,2018-02-05,2018-03-28
5,372,32,2018-03-22,2018-04-18
1,661,27,2017-10-17,2017-11-22
1,500,2,2017-11-03,2017-11-07
23,543,29,2018-01-02,2018-04-06
48,624,12,2017-03-15,2017-07-19
51,132,5,2017-03-26,2017-09-15
5,498,11,2017-03-23,2017-07-31
23,91,28,2018-02-05,2018-03-28
5,637,30,2018-03-01,2018-04-18
1,595,27,2017-10-17,2017-11-22
1,112,2,2017-11-03,2017-11-07
27,623,29,2018-01-02,2018-04-06
48,624,15,2017-03-23,2017-04-19
51,372,5,2017-03-26,2017-09-15
23,486,28,2018-02-05,2018-03-28
5,225,30,2018-03-01,2018-04-18
1,569,26,2017-09-21,2017-12-31
1,45,2,2017-11-03,2017-11-07
21,40,29,2018-01-02,2018-04-06
48,642,12,2017-03-15,2017-07-19
51,432,5,2017-03-26,2017-09-15
5,510,11,2017-03-23,2017-07-31
23,50,28,2018-02-05,2018-03-28
5,308,32,2018-03-22,2018-04-18
1,342,26,2017-09-21,2017-12-31
1,249,2,2017-11-03,2017-11-07
2,553,29,2018-01-02,2018-04-06
48,368,15,2017-03-23,2017-04-19
51,471,5,2017-03-26,2017-09-15
5,44,11,2017-03-23,2017-07-31
23,531,28,2018-02-05,2018-03-28
5,586,30,2018-03-01,2018-04-18
1,646,27,2017-10-17,2017-11-22
1,189,2,2017-11-03,2017-11-07
45,97,29,2018-01-02,2018-04-06
48,121,15,2017-03-23,2017-04-19
51,276,5,2017-03-26,2017-09-15
5,216,11,2017-03-23,2017-07-31
23,259,28,2018-02-05,2018-03-28
5,111,31,2018-03-01,2018-04-18
1,564,27,2017-10-17,2017-11-22
1,251,2,2017-11-03,2017-11-07
